                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,0.077,0.062,0.139,0,0.139
                            CA,0.071,0.27,0.341,0,0.341
                          CERN,1.157,1.194,2.351,0,2.351
                            CH,0,0.002,0.002,0,0.002
                            CZ,0.238,0.357,0.595,0,0.595
                            ES,0.424,0.593,1.018,0,1.018
                            FR,0.126,0.33,0.456,0,0.456
                            IN,0.307,0.533,0.84,0,0.84
                            NL,1.281,1.568,2.849,0,2.849
                            RU,0.097,0.313,0.41,0,0.41
                            UK,3.416,4.172,7.589,0,7.589
                            US,3.291,24.503,27.793,16.335,44.128
                     undefined,2.056,0.329,2.385,0,2.385
                         Total,12.542,34.226,46.768,16.335,63.102
