                          Site,Production,  Analysis,    NoMARS,      MARS,     Total
                            BR,0.296,0.102,0.398,0,0.398
                            CA,0.085,0.156,0.241,0,0.241
                          CERN,0.627,0.921,1.548,0,1.548
                            CH,0.03,0.003,0.033,0,0.033
                            CZ,0.562,0.529,1.091,0,1.091
                            ES,0.218,0.28,0.498,0,0.498
                            FR,0.384,0.269,0.653,0,0.653
                            IN,0.06,0.367,0.427,0,0.427
                            IT,0,0.083,0.083,0,0.083
                            NL,1.215,0.974,2.189,0,2.189
                            RU,0.052,0.217,0.269,0,0.269
                            UK,3.157,4.369,7.526,0,7.526
                            US,4.082,29.55,33.632,0.98,34.612
                     undefined,0.007,0.097,0.104,0,0.104
                         Total,10.778,37.916,48.694,0.98,49.674
