   time in kHS23-Hrs by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,         25,         58,        346,         64,         74,        195,         41,         17,         20,         27,          0,         71,        942
CA_SFU,         42,         13,         31,         14,          0,          0,          0,          0,          6,          0,          0,          5,        114
CA_Victoria,         96,         90,         58,         18,         87,        217,         97,         17,         97,         76,        161,        368,       1388
CERN,        667,        538,       1028,        417,        979,       1452,        409,        134,        383,        405,        437,        743,       7598
CH_UNIBE-LHEP,          0,          0,          0,          0,          0,          0,          1,          0,          0,          0,          0,         15,         21
CZ_FZU,         62,        219,        858,        159,        225,       1134,        353,         26,         90,        205,        145,        211,       3692
ES_CIEMAT,          1,          4,          4,         15,         19,         25,         39,          5,          1,          3,          2,         61,        184
ES_PIC,        186,        154,        221,         92,        265,        545,        168,         12,         93,        259,        129,        113,       2243
FR_CCIN2P3,        170,        136,        517,        121,        214,        617,        121,          8,         54,        349,         37,         62,       2412
IN_TIFR,        175,        240,        524,          0,        246,       1507,        380,          0,        143,         64,         98,        113,       3493
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         17
NL_NIKHEF,        265,        286,        661,         65,        233,        539,        126,         33,         98,         35,         65,        156,       2567
NL_SURFsara,        497,        819,       2138,        228,        692,       1859,        162,         33,        341,         27,         21,        440,       7263
RU_JINR,        451,        341,        282,         80,        339,       1024,        120,         13,         43,          0,          0,          0,       2696
UK_Bristol,        207,        191,        797,        421,        286,        527,         79,         19,        103,        126,         72,        259,       3092
UK_Brunel,        197,        154,        322,        101,        114,        303,         76,         11,         74,        138,         99,        116,       1711
UK_Edinburgh,         11,         51,         60,         17,         27,        103,          6,          0,         11,        164,         24,         54,        535
UK_Imperial,        113,         90,        248,         23,         64,        255,        100,          5,        167,         28,         37,        118,       1255
UK_Lancaster,         46,         31,        162,        124,        106,        236,         25,          0,         63,         36,         54,          0,        889
UK_Liverpool,          0,          0,          0,          0,          0,        141,         61,          5,         75,         76,         31,         38,        431
UK_Manchester,        421,        573,       1122,       1294,        831,       2058,        151,          0,          0,         58,        796,        286,       7595
UK_Oxford,         25,         43,        204,         77,         85,        309,         51,          7,         14,         30,         21,         72,        944
UK_QMUL,        384,        323,        468,         79,         41,          2,          6,         13,         60,        415,         30,         53,       1880
UK_RAL-PPD,        216,        341,       1283,        720,        885,       2251,        427,         69,        954,        335,        448,        859,       8795
UK_RAL-Tier1,       1118,        782,       2138,        618,        452,        542,        467,        182,       1854,       1197,          0,          0,       9354
UK_Sheffield,         51,        116,         52,         41,          0,        357,         59,          3,         39,         24,         37,         32,        816
US_BNL,         53,         62,        101,         23,         76,        222,         42,         15,         25,         17,         23,        190,        853
US_Caltech,          0,          0,          0,         10,         69,          0,          0,          0,          0,          0,          0,          0,         79
US_Colorado,          6,        224,        313,        132,        236,        424,        112,         33,        180,         91,         81,        256,       2094
US_FNAL-FermiGrid,          0,          0,          0,      17653,      25751,      10782,      16795,      13356,      28910,      34335,      18043,      13268,     178898
US_FNAL-T1,          0,          0,          0,        162,        104,        172,         99,         23,         88,         64,        134,        284,       1134
US_FermiGrid,       9216,       6368,      24399,      16587,          0,          0,          0,          0,          0,          0,          0,          0,      56571
US_MWT2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Michigan,          1,          1,          2,          0,          3,          2,          5,          5,          0,          0,          0,          0,         24
US_NERSC,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Nebraska,          0,          0,          0,          0,          0,          6,         25,          0,          0,          0,          0,          0,         31
US_NotreDame,          0,          0,         31,         38,         25,         20,          9,         10,         14,          0,          1,          9,        160
US_Omaha,          0,          0,          0,          0,          0,          9,          8,          0,          0,          0,          0,          0,         17
US_PuertoRico,          3,         11,         43,          6,         15,         39,          5,          1,          3,          5,          4,         16,        158
US_SU-ITS,          0,          0,         14,         65,         69,        469,        348,         41,         29,         15,         17,        249,       1321
US_Swan,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          8
US_UCSD,         13,         20,         43,         30,         32,         56,          6,          4,         18,          7,         15,         24,        273
US_UChicago,          0,          0,          0,          0,          0,         52,         91,         20,         78,         23,         56,        261,        584
US_UConn-HPC,          0,          0,          0,          0,          0,          2,         22,          3,         13,         51,         47,         19,        159
US_WSU,          8,          7,         61,         88,         67,         53,          0,          0,          0,          0,          0,          2,        291
US_Wisconsin,         19,         73,         32,         20,         20,        100,          5,         10,         13,          4,          0,         22,        323
undefined,        144,        251,        270,        199,         14,         78,          9,          0,          0,        112,         27,         28,       1137
Total,  14904.296,  12627.947,  38851.510,  39819.899,  32765.110,  28703.585,  21126.507,  14151.592,  34173.118,  38818.874,  21210.364,  18910.450,     316063
