   time in kHS23-Hrs by BySite     ,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,Total
BR_CBPF,         26,         64,        466,         81,         95,        703,        177,        401,        678,        748,          0,         75,       3518
CA_SFU,         42,         14,         49,         19,          0,          0,          0,          1,         16,          0,          0,          6,        149
CA_Victoria,        117,        116,         58,         24,         87,        217,         98,         18,         98,        275,        612,        412,       2138
CERN,        735,        816,       1266,        428,        985,       1474,        412,        231,        907,       3671,       1328,        757,      13016
CH_UNIBE-LHEP,          0,          2,        126,          0,          0,          1,          1,          0,         23,        116,          0,         15,        290
CZ_FZU,        122,        640,       1088,        166,        227,       1134,        353,         26,        303,       4187,        209,        276,       8735
ES_CIEMAT,          1,          4,          4,         16,         19,         25,         39,          5,          1,          3,          2,         61,        186
ES_PIC,        267,        314,        251,         95,        267,        551,        169,         19,        156,       1199,        815,        125,       4233
FR_CCIN2P3,        177,        217,        726,        143,        215,        675,        131,         21,        405,       2386,        498,         68,       5667
IN_TIFR,        187,        246,        540,          0,        246,       1507,        380,          0,        249,        457,        108,        113,       4037
IT_CNAF,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,         17,         17
NL_NIKHEF,        434,       1305,       1163,         66,        236,        548,        126,         38,        549,       1954,        411,        176,       7012
NL_SURFsara,        632,       1783,       2646,        229,        722,       2186,        172,         82,       1042,       5435,        107,        599,      15641
RU_JINR,        451,        347,        483,         94,        343,       1187,        158,         41,         54,          0,          0,          0,       3162
UK_Bristol,        338,        289,        900,        429,        288,        534,         82,         34,        263,        543,        132,        268,       4106
UK_Brunel,        321,        319,        414,        104,        116,        305,         78,         22,        262,        906,        230,        126,       3208
UK_Edinburgh,         19,         86,        166,         25,         28,        123,          8,          0,        125,       1346,        254,         59,       2244
UK_Imperial,        168,        521,        335,         27,         66,        271,        105,         15,        254,       1021,        478,        138,       3404
UK_Lancaster,        138,        128,        277,        126,        106,        238,         25,          0,        120,       1146,        568,          0,       2880
UK_Liverpool,          0,          0,          0,          0,          0,        143,         63,          7,        102,        588,        359,         42,       1309
UK_Manchester,        528,       1816,       1429,       1303,        832,       2067,        152,          0,          0,       1613,        954,        334,      11032
UK_Oxford,         62,         76,        251,         78,         86,        317,         52,          7,         69,        590,         51,         76,       1720
UK_QMUL,        521,        480,        700,        102,         45,         11,          6,         19,        368,       2998,        671,         59,       5984
UK_RAL-PPD,        366,       1238,       1565,        726,        886,       2267,        428,         86,       1655,       4204,        449,        979,      14855
UK_RAL-Tier1,       1401,       1729,       3322,        706,        469,       1205,        796,        905,       3347,       1842,        989,          0,      16717
UK_Sheffield,        135,        137,        128,         42,          0,        362,         59,          3,        103,        555,        427,         46,       2001
US_BNL,         98,        177,        104,         74,         78,        268,         45,        111,        121,       1566,         40,        192,       2880
US_Caltech,          0,          0,          0,         10,         69,          0,          0,          0,          0,          0,          0,          0,         80
US_Colorado,         20,        304,        373,        150,        251,        454,        146,        127,        382,        619,        138,        258,       3227
US_FNAL-FermiGrid,          0,          0,          0,      21944,      26003,      12802,      17951,      15062,      30232,      39451,      18043,      13307,     194798
US_FNAL-T1,          0,          0,          0,        162,        104,        172,         99,         24,        106,        258,        576,        293,       1798
US_FermiGrid,      12044,      11413,      30294,      16947,          0,          0,          0,          0,          0,          0,          0,          0,      70698
US_MWT2,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0,          0
US_Michigan,          1,          1,          2,          1,          3,          2,          5,          5,          0,          0,          0,          0,         25
US_NERSC,          0,         31,         23,        259,        425,         34,         11,          0,          0,          0,          0,          0,        786
US_Nebraska,          0,          0,          0,          0,          0,          6,         25,          0,          0,          0,          0,          0,         32
US_NotreDame,          0,          0,         34,         48,         26,         37,         10,         48,         26,          0,          1,          9,        243
US_Omaha,          0,          0,          0,          0,          0,          9,          8,          0,          0,          0,          0,          0,         18
US_PuertoRico,         21,         51,         46,          6,         16,         40,          5,          1,          3,          7,          9,         16,        227
US_SU-ITS,          0,          0,         14,         65,         69,        469,        348,         41,         31,         15,         17,        250,       1324
US_Swan,          0,          0,          0,          0,          3,          0,          0,          0,          0,          0,          0,          1,          8
US_UCSD,         25,         68,         47,         31,         33,         57,          6,          9,         28,         42,         44,         24,        420
US_UChicago,          0,          0,          0,          0,          0,         52,         91,         20,        305,       1871,         56,        277,       2676
US_UConn-HPC,          0,          0,          0,          0,          0,          2,         22,          3,         13,        357,         47,         19,        465
US_WSU,          8,          7,         61,         88,         67,         53,          0,          0,          0,          0,          0,          2,        291
US_Wisconsin,         19,         73,         40,         23,         20,        100,          5,         10,         16,         37,          0,         24,        374
undefined,        144,        325,        332,        200,         14,         78,          9,          0,          0,        112,         27,         28,       1274
Total,  19584.442,  25153.418,  49739.619,  45054.012,  33566.358,  32710.067,  22876.465,  17461.547,  42428.046,  82134.753,  28671.280,  19547.303,     418927
